2016-01-25 11:17:07.535 1453720627535 Acceleration x: -0.02789306640625 g, y: -0.09039306640625 g, z: 0.95953369140625 g Gyro x: 3.357086181640625 g, y: 6.781463623046875 g, z: -1.42059326171875 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.555 1453720627556 Acceleration x: -0.02764892578125 g, y: -0.09075927734375 g, z: 0.9600830078125 g Gyro x: 3.24493408203125 g, y: 6.871185302734375 g, z: -1.413116455078125 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.574 1453720627574 Acceleration x: -0.02801513671875 g, y: -0.091552734375 g, z: 0.958984375 g Gyro x: 3.267364501953125 g, y: 6.69921875 g, z: -1.375732421875 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.588 1453720627588 Acceleration x: -0.02850341796875 g, y: -0.0899658203125 g, z: 0.960693359375 g Gyro x: 3.342132568359375 g, y: 6.781463623046875 g, z: -1.398162841796875 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.605 1453720627606 Acceleration x: -0.02679443359375 g, y: -0.091552734375 g, z: 0.96051025390625 g Gyro x: 3.252410888671875 g, y: 6.945953369140625 g, z: -1.502838134765625 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.624 1453720627624 Acceleration x: -0.0286865234375 g, y: -0.090576171875 g, z: 0.96136474609375 g Gyro x: 3.45428466796875 g, y: 6.8487548828125 g, z: -1.487884521484375 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.642 1453720627642 Acceleration x: -0.0269775390625 g, y: -0.09027099609375 g, z: 0.96038818359375 g Gyro x: 3.18511962890625 g, y: 6.960906982421875 g, z: -1.31591796875 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.656 1453720627657 Acceleration x: -0.02801513671875 g, y: -0.09161376953125 g, z: 0.96282958984375 g Gyro x: 3.177642822265625 g, y: 6.639404296875 g, z: -1.562652587890625 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.676 1453720627676 Acceleration x: -0.0281982421875 g, y: -0.09100341796875 g, z: 0.9617919921875 g Gyro x: 3.21502685546875 g, y: 6.676788330078125 g, z: -1.368255615234375 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.694 1453720627694 Acceleration x: -0.0281982421875 g, y: -0.09088134765625 g, z: 0.9625244140625 g Gyro x: 3.21502685546875 g, y: 6.83380126953125 g, z: -1.383209228515625 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.710 1453720627711 Acceleration x: -0.02777099609375 g, y: -0.09149169921875 g, z: 0.96337890625 g Gyro x: 3.289794921875 g, y: 6.92352294921875 g, z: -1.39068603515625 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.724 1453720627724 Acceleration x: -0.02850341796875 g, y: -0.09088134765625 g, z: 0.96209716796875 g Gyro x: 3.222503662109375 g, y: 6.878662109375 g, z: -1.48040771484375 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.739 1453720627739 Acceleration x: -0.02813720703125 g, y: -0.09088134765625 g, z: 0.96221923828125 g Gyro x: 3.27484130859375 g, y: 6.9683837890625 g, z: -1.3458251953125 g Magnet x: 0.027099609375 G, y: 0.359375 G, z: -0.2901611328125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.752 1453720627753 Acceleration x: -0.02777099609375 g, y: -0.090576171875 g, z: 0.96173095703125 g Gyro x: 3.12530517578125 g, y: 6.706695556640625 g, z: -1.27105712890625 g Magnet x: 0.027099609375 G, y: 0.359375 G, z: -0.2901611328125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.767 1453720627767 Acceleration x: -0.0279541015625 g, y: -0.09088134765625 g, z: 0.963623046875 g Gyro x: 3.18511962890625 g, y: 6.878662109375 g, z: -1.398162841796875 g Magnet x: 0.027099609375 G, y: 0.359375 G, z: -0.2901611328125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.781 1453720627781 Acceleration x: -0.0289306640625 g, y: -0.0904541015625 g, z: 0.962890625 g Gyro x: 3.222503662109375 g, y: 6.811370849609375 g, z: -1.502838134765625 g Magnet x: 0.027099609375 G, y: 0.359375 G, z: -0.2901611328125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.798 1453720627798 Acceleration x: -0.02764892578125 g, y: -0.09173583984375 g, z: 0.9622802734375 g Gyro x: 3.22998046875 g, y: 6.676788330078125 g, z: -1.547698974609375 g Magnet x: 0.027099609375 G, y: 0.359375 G, z: -0.2901611328125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.818 1453720627818 Acceleration x: -0.02764892578125 g, y: -0.09088134765625 g, z: 0.96319580078125 g Gyro x: 3.207550048828125 g, y: 6.86370849609375 g, z: -1.495361328125 g Magnet x: 0.027099609375 G, y: 0.359375 G, z: -0.2901611328125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.835 1453720627835 Acceleration x: -0.0277099609375 g, y: -0.09051513671875 g, z: 0.9615478515625 g Gyro x: 3.162689208984375 g, y: 7.0281982421875 g, z: -1.36077880859375 g Magnet x: 0.027099609375 G, y: 0.3656005859375 G, z: -0.2843017578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.858 1453720627858 Acceleration x: -0.02764892578125 g, y: -0.09149169921875 g, z: 0.9625244140625 g Gyro x: 3.2598876953125 g, y: 6.7291259765625 g, z: -1.375732421875 g Magnet x: 0.03271484375 G, y: 0.3656005859375 G, z: -0.2843017578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.887 1453720627887 Acceleration x: -0.0279541015625 g, y: -0.09063720703125 g, z: 0.9635009765625 g Gyro x: 3.2598876953125 g, y: 6.77398681640625 g, z: -1.33087158203125 g Magnet x: 0.03271484375 G, y: 0.3656005859375 G, z: -0.2843017578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.904 1453720627904 Acceleration x: -0.02764892578125 g, y: -0.09033203125 g, z: 0.96337890625 g Gyro x: 3.22998046875 g, y: 6.856231689453125 g, z: -1.443023681640625 g Magnet x: 0.03271484375 G, y: 0.3656005859375 G, z: -0.2843017578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.928 1453720627928 Acceleration x: -0.02740478515625 g, y: -0.09033203125 g, z: 0.9630126953125 g Gyro x: 3.24493408203125 g, y: 6.71417236328125 g, z: -1.353302001953125 g Magnet x: 0.03271484375 G, y: 0.3656005859375 G, z: -0.2843017578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.945 1453720627945 Acceleration x: -0.02740478515625 g, y: -0.0906982421875 g, z: 0.9638671875 g Gyro x: 3.327178955078125 g, y: 6.871185302734375 g, z: -1.428070068359375 g Magnet x: 0.0345458984375 G, y: 0.3585205078125 G, z: -0.289794921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.961 1453720627961 Acceleration x: -0.0279541015625 g, y: -0.09033203125 g, z: 0.962646484375 g Gyro x: 3.30474853515625 g, y: 6.9384765625 g, z: -1.413116455078125 g Magnet x: 0.0345458984375 G, y: 0.3585205078125 G, z: -0.289794921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.976 1453720627977 Acceleration x: -0.02813720703125 g, y: -0.09063720703125 g, z: 0.9654541015625 g Gyro x: 3.3197021484375 g, y: 6.98333740234375 g, z: -1.5252685546875 g Magnet x: 0.0345458984375 G, y: 0.3585205078125 G, z: -0.289794921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:07.996 1453720627996 Acceleration x: -0.0281982421875 g, y: -0.09075927734375 g, z: 0.964111328125 g Gyro x: 3.3197021484375 g, y: 6.796417236328125 g, z: -1.428070068359375 g Magnet x: 0.0345458984375 G, y: 0.3585205078125 G, z: -0.289794921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.009 1453720628010 Acceleration x: -0.02764892578125 g, y: -0.0906982421875 g, z: 0.9644775390625 g Gyro x: 3.21502685546875 g, y: 6.901092529296875 g, z: -1.39068603515625 g Magnet x: 0.0345458984375 G, y: 0.3585205078125 G, z: -0.289794921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.026 1453720628026 Acceleration x: -0.02801513671875 g, y: -0.0906982421875 g, z: 0.9642333984375 g Gyro x: 3.22998046875 g, y: 6.766510009765625 g, z: -1.45050048828125 g Magnet x: 0.0345458984375 G, y: 0.3585205078125 G, z: -0.289794921875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
2016-01-25 11:17:08.042 1453720628042 Acceleration x: -0.02838134765625 g, y: -0.0906982421875 g, z: 0.96429443359375 g Gyro x: 3.22998046875 g, y: 6.721649169921875 g, z: -1.375732421875 g Magnet x: 0.0289306640625 G, y: 0.3641357421875 G, z: -0.2884521484375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.6142578125
